nome_produto;preco_atual;descricao;cor;tamanhos_disponiveis;objetivo;url_site;url_imagem;loja;categoria;genero_destinado
Jordan Tênis Jordan Tatum 3 Masculino;1199.99;Tênis Jordan Tatum 3 Masculino Azul Características O Tênis Jordan Tatum 3 é sinônimo de estilo e conforto. Feito com materiais de alta qualidade, este tênis é confeccionado em tecido resistente e durável, garantindo maior durabilidade e conforto durante o uso. Além disso, possui solado de borracha que proporciona mais aderência e estabilidade ao caminhar. Versatilidade Com seu design moderno e sofisticado na cor azul, este tênis é perfeito para compor diversos looks, seja para um passeio casual ou para praticar esportes. Seja para combinar com uma calça jeans ou bermuda, o Tênis Jordan Tatum 3 é a escolha perfeita para quem busca estilo e conforto em um só produto. Invista nesse tênis e garanta um visual único e cheio de personalidade.;Azul;Não informado;Casual / Passeio;https://www.artwalk.com.br/tenis-jordan-tatum-3-masculino-hv587-8-401/p;https://artwalk.vtexassets.com/arquivos/ids/577392-300-375?v=638817859120830000&width=300&height=375&aspect=true;Artwalk;Tênis;Masculino
Nike Tênis Nike Dunk Low Retro SE Masculino;899.99;Tênis Nike Dunk Low Retro Se Masculino Marrom Deixe seu estilo de rua se destacar com o Tênis Nike Dunk Low Retro Se Masculino na cor marrom. Este tênis é uma reedição do clássico Dunk Low, trazendo de volta o icônico design dos anos 80 com um toque de modernidade. A combinação de conforto e estilo faz deste tênis uma escolha perfeita para todas as suas aventuras urbanas. Características O Tênis Nike Dunk Low Retro Se Masculino é confeccionado em material têxtil de alta qualidade, oferecendo durabilidade e resistência para aguentar as demandas do dia a dia. O acabamento marrom dá ao tênis um ar de sofisticação, enquanto as linhas de design remetem ao estilo retro.Para garantir o conforto durante o uso, este tênis apresenta um acolchoamento suave no interior e uma sola robusta que proporciona excelente tração e apoio. O logo da Nike na lateral garante a autenticidade do produto, mostrando que você está acompanhado pela melhor marca de tênis do mundo. Versatilidade O Tênis Nike Dunk Low Retro Se Masculino é extremamente versátil. Sua cor marrom combina facilmente com uma variedade de peças de vestuário, desde jeans e camisetas até shorts e camisas. É perfeito para passear no parque, ir para a academia, sair com os amigos ou até mesmo para um dia casual de trabalho.Além disso, este tênis é ideal para todas as estações do ano. Em dias quentes, ele te mantém fresco e confortável, enquanto nos dias frios, oferece proteção e calor.E aí, pronto para dar um upgrade no seu estilo com o Tênis Nike Dunk Low Retro Se Masculino Marrom? Adicione este item indispensável ao seu carrinho agora mesmo!;Marrom;Não informado;Academia / Casual;https://www.artwalk.com.br/tenis-nike-dunk-low-retro-se-masculino-hj432-9-200/p;https://artwalk.vtexassets.com/arquivos/ids/577400-300-375?v=638817861367670000&width=300&height=375&aspect=true;Artwalk;Tênis;Masculino
Vans Tênis Vans Knu Skool Feminino;649.99;Tênis Vans Knu Skool Feminino Cinza Características O Tênis Vans Knu Skool Feminino na cor Cinza é uma peça que une estilo e conforto de forma única. Feito de material de alta qualidade, ele proporciona durabilidade e resistência, garantindo que você possa usá-lo por muito tempo sem perder a qualidade. Além disso, o material oferece um toque de elegância ao calçado, tornando-o uma escolha sofisticada para o dia a dia. A cor Cinza, por sua vez, é versátil e combina facilmente com diferentes looks, desde os mais casuais até os mais formais, trazendo um toque de modernidade e sofisticação a qualquer produção. Versatilidade Com o Tênis Vans Knu Skool Feminino Cinza, você tem em mãos um calçado versátil que pode ser usado em diversas ocasiões. Seja para um passeio no parque, um dia de trabalho mais descontraído ou até mesmo para um happy hour com os amigos,que mescla peças esportivas com itens mais elegantes. Sinta-se confortável e estilosa em qualquer momento do dia com esse calçado que une o melhor do conforto com o melhor do estilo.;Cinza;Não informado;Dia a Dia / Passeio;https://www.artwalk.com.br/tenis-vans-knu-skool-feminino-d6cbx-c-001/p;https://artwalk.vtexassets.com/arquivos/ids/577182-300-375?v=638816374817500000&width=300&height=375&aspect=true;Artwalk;Tênis;Feminino
Vans Tênis Vans Upland Unissex;649.99;Tênis Vans Upland Unissex Cinza Características O Tênis Vans Upland Unissex na cor Cinza é feito de material couro sintético, o que confere ao produto uma combinação perfeita de conforto, durabilidade e estilo. O material sintético de couro proporciona uma sensação agradável nos pés, garantindo conforto durante o uso prolongado. Além disso, a durabilidade do couro sintético assegura que seu tênis permaneça em ótimas condições por muito tempo. Quanto ao estilo, a cor Cinza é versátil e elegante, combinando facilmente com diferentes looks e adicionando um toque de sofisticação ao visual. Seja para um visual mais casual ou até mesmo para um look mais despojado, o Tênis Vans Upland Unissex em Cinza é a escolha perfeita. Versatilidade Com seu design moderno e urbano, o Tênis Vans Upland Unissex é extremamente versátil e pode ser usado em diversas ocasiões. Sua cor neutra de Cinza o torna perfeito para combinar com diferentes estilos de roupas, desde um visual mais esportivo até um look casual e descolado. A versatilidade desse modelo permite que ele seja facilmente incorporado ao estilo, que mescla peças esportivas com peças do dia a dia. Seja para um passeio no parque, um encontro com amigos ou até mesmo para um dia de trabalho mais descontraído, o Tênis Vans Upland Unissex em Cinza é a escolha ideal para quem busca conforto e estilo em um único produto.;Cinza;Não informado;Esportivo / Casual;https://www.artwalk.com.br/tenis-vans-upland-unissex-d25c9-f-001/p;https://artwalk.vtexassets.com/arquivos/ids/577189-300-375?v=638816377452470000&width=300&height=375&aspect=true;Artwalk;Tênis;Unissex
ASICS Tênis Asics Gel-1130 Feminino;649.99;""" Tênis Asics Gel-1130 Feminino Branco Características Este tênis feminino da Asics é perfeito para quem busca conforto e estilo! Feito com materiais de alta qualidade, como couro sintético, fibra sintética e borracha, ele garante durabilidade e resistência para te acompanhar em todas as suas atividades do dia a dia. Além disso, o sistema de amortecimento em gel proporciona uma pisada macia e confortável, cuidando da saúde dos seus pés. Versatilidade Com seu design clean em branco, esse tênis combina com qualquer produção, seja para um dia de trabalho ou para um passeio no parque. Seja para praticar esportes ou para um look mais casual, o Asics Gel-1130 é o calçado ideal para te acompanhar em todas as ocasiões. Se joga nesse modelo e arrase no visual!""";Branco;Não informado;Casual / Dia a Dia;https://www.artwalk.com.br/tenis-asics-gel-1130-masculino-02a16-4-121/p;https://artwalk.vtexassets.com/arquivos/ids/577206-300-375?v=638816384811070000&width=300&height=375&aspect=true;Artwalk;Tênis;Feminino
adidas Tênis adidas Sambae Feminino;799.99;Tênis adidas Sambae Feminino Azul Características O Tênis adidas Sambae Feminino na cor Azul é uma combinação perfeita de estilo e conforto. Seu material de alta qualidade proporciona durabilidade e conforto excepcionais. A parte superior em oferece respirabilidade, mantendo seus pés frescos durante todo o dia. Além disso, a entressola acolchoada e o solado aderente garantem passos seguros e confortáveis. A cor Azul adiciona um toque de modernidade e versatilidade ao seu look, combinando facilmente com diferentes estilos, desde o casual até o esportivo. Versatilidade O Tênis adidas Sambae Feminino é extremamente versátil e pode ser usado em diversas ocasiões. Seja para uma caminhada no parque, um passeio no shopping ou até mesmo para um dia de trabalho mais descontraído, este tênis se adapta perfeitamente. Sua versatilidade no estilo Athleisure permite que você crie combinações incríveis, do mais casual ao mais fashion. Seja qual for a ocasião, o Tênis adidas Sambae Feminino Azul será o complemento perfeito para o seu visual.;Azul;Não informado;Caminhada / Esportivo;https://www.artwalk.com.br/tenis-adidas-sambae-feminino-jh883-5-400/p;https://artwalk.vtexassets.com/arquivos/ids/577282-300-375?v=638816408629770000&width=300&height=375&aspect=true;Artwalk;Tênis;Feminino
adidas Tênis adidas Sambae Feminino;799.99;Tênis adidas Sambae Feminino Bege Características O Tênis adidas Sambae Feminino na cor Bege é um calçado que une estilo e conforto. Feito de o material contribui para o conforto dos pés, garantindo uma sensação agradável durante todo o dia. Além disso, a durabilidade do produto é evidente, proporcionando um tênis que acompanhará todas as suas aventuras. A cor Bege é versátil e combina facilmente com diferentes estilos, desde looks mais casuais até produções mais sofisticadas, adicionando um toque de elegância ao visual. Versatilidade Com o Tênis adidas Sambae Feminino Bege, você terá um calçado que pode ser usado em diversas ocasiões. Sua versatilidade no estilo Athleisure permite que você o combine com roupas esportivas para um visual mais descontraído, ou com peças mais formais para um look urbano e moderno. Seja para um passeio no parque, uma ida ao shopping ou até mesmo para um evento mais casual, este tênis será o seu companheiro ideal, garantindo estilo e conforto em qualquer situação.;Bege;Não informado;Casual / Passeio;https://www.artwalk.com.br/tenis-adidas-sambae-feminino-ji388-2-200/p;https://artwalk.vtexassets.com/arquivos/ids/577297-300-375?v=638816415450530000&width=300&height=375&aspect=true;Artwalk;Tênis;Feminino
Vans Tênis Vans Upland Feminino;649.99;Tênis Vans Upland Feminino Cinza Características O Tênis Vans Upland Feminino na cor Cinza é a combinação perfeita de estilo e conforto. Feito de material couro sintéticoh de alta qualidade, este tênis garante durabilidade e resistência, sem deixar de lado o design moderno e estiloso. O material sintético oferece um toque suave e macio aos pés, proporcionando conforto durante o uso prolongado. Além disso, a cor Cinza é versátil e combina facilmente com diferentes estilos, garantindo um visual descolado e urbano em qualquer ocasião. Versatilidade O Tênis Vans Upland Feminino é extremamente versátil e pode ser usado em diversas ocasiões. Seja para um passeio no parque, uma ida à academia ou até mesmo para um dia de trabalho casual, este tênis se encaixa perfeitamente no estilo, que une peças esportivas com elementos do dia a dia. Com o Tênis Vans Upland Feminino Cinza, você estará sempre confortável e estilosa, pronta para arrasar em qualquer momento do seu dia.;Cinza;Não informado;Academia / Casual;https://www.artwalk.com.br/tenis-vans-upland-feminino-d1hft-y-001/p;https://artwalk.vtexassets.com/arquivos/ids/577197-300-375?v=638816382313900000&width=300&height=375&aspect=true;Artwalk;Tênis;Feminino
adidas Tênis adidas Gazelle Bold Feminino;589.99;Tênis adidas Gazelle Bold Feminino Rosa Características O Tênis adidas Gazelle Bold Feminino na cor Rosa é confeccionado em material que proporciona conforto aos pés durante todo o dia. Além disso, o material utilizado garante durabilidade ao produto, tornando-o uma escolha resistente e estilosa. A tonalidade Rosa traz um toque de feminilidade ao look, combinando perfeitamente com diferentes estilos, desde um visual mais despojado até um look mais elegante e casual. Versatilidade A versatilidade do Tênis adidas Gazelle Bold Feminino Rosa é impressionante, podendo ser usado em diversas ocasiões. Seja para um dia de passeio, para praticar exercícios ou até mesmo para um compromisso casual, este tênis se adapta facilmente a diferentes ambientes e estilos. Sua versatilidade no estilo Athleisure permite que você esteja sempre confortável e estilosa, seja qual for a ocasião.;Rosa;Não informado;Casual / Passeio;https://www.artwalk.com.br/tenis-adidas-gazelle-bold-feminino-if449-8-600/p;https://artwalk.vtexassets.com/arquivos/ids/577319-300-375?v=638816424805570000&width=300&height=375&aspect=true;Artwalk;Tênis;Feminino
adidas Tênis adidas Gazelle Masculino;449.99;Tênis adidas Gazelle Masculino Vermelho Características O Tênis adidas Gazelle Masculino na cor Vermelho é a combinação perfeita de estilo e conforto. Feito com material de alta qualidade, o couro utilizado proporciona durabilidade e resistência, garantindo que você tenha um calçado que irá te acompanhar por muito tempo. Além disso, o design clássico e atemporal do modelo Gazelle adiciona um toque de estilo único ao seu visual. A cor Vermelho é vibrante e marcante, contribuindo para um visual moderno e cheio de personalidade. Ela combina facilmente com diferentes estilos, desde o mais casual até o mais formal, adicionando um toque de cor e destaque ao seu look. Versatilidade Com o Tênis adidas Gazelle Masculino Vermelho, você terá um calçado versátil que se encaixa perfeitamente em diferentes ocasiões. Seja para um dia de trabalho, um passeio no parque ou até mesmo um evento mais descontraído, esse tênis é a escolha ideal. A versatilidade do modelo o torna perfeito para o estilo Athleisure, combinando conforto e elegância de forma equilibrada. Aposte nesse calçado para criar looks modernos e cheios de personalidade, sem abrir mão do conforto e qualidade que só a adidas pode oferecer.;Vermelho;Não informado;Casual / Passeio;https://www.artwalk.com.br/tenis-adidas-gazelle-masculino-if965-2-600/p;https://artwalk.vtexassets.com/arquivos/ids/577325-300-375?v=638816431894200000&width=300&height=375&aspect=true;Artwalk;Tênis;Masculino
